,Acronym,Name
280,LRCX,"['Lam', 'Research']"
281,LW,"['Lamb', 'Weston', 'Holdings', 'Inc']"
282,LVS,"['Las', 'Vegas', 'Sands']"
283,LEG,"['Leggett', '&', 'Platt']"
284,LDOS,"['Leidos', 'Holdings']"
285,LEN,"['Lennar', 'Corp']"
286,LLY,"['Lilly', '(Eli)', '&', 'Co']"
287,LNC,"['Lincoln', 'National']"
288,LIN,"['Linde', 'plc']"
289,LYV,"['Live', 'Nation', 'Entertainment']"
290,LKQ,"['LKQ', 'Corporation']"
291,LMT,"['Lockheed', 'Martin', 'Corp']"
292,L,"['Loews', 'Corp']"
293,LOW,"[""Lowe's"", 'Cos']"
294,LYB,['LyondellBasell']
295,MTB,"['M&T', 'Bank', 'Corp']"
296,MRO,"['Marathon', 'Oil', 'Corp']"
297,MPC,"['Marathon', 'Petroleum']"
298,MKTX,['MarketAxess']
299,MAR,"['Marriott', ""Int'l""]"
300,MMC,"['Marsh', '&', 'McLennan']"
301,MLM,"['Martin', 'Marietta', 'Materials']"
302,MAS,"['Masco', 'Corp']"
303,MA,"['Mastercard', 'Inc']"
304,MXIM,"['Maxim', 'Integrated', 'Products', 'Inc']"
305,MKC,"['McCormick', '&', 'Co']"
306,MCD,"[""McDonald's"", 'Corp']"
307,MCK,"['McKesson', 'Corp']"
308,MDT,"['Medtronic', 'plc']"
309,MRK,"['Merck', '&', 'Co']"
310,MET,"['MetLife', 'Inc']"
311,MTD,"['Mettler', 'Toledo']"
312,MGM,"['MGM', 'Resorts', 'International']"
313,MCHP,"['Microchip', 'Technology']"
314,MU,"['Micron', 'Technology']"
315,MSFT,"['Microsoft', 'Corp']"
316,MAA,"['Mid-America', 'Apartments']"
317,MHK,"['Mohawk', 'Industries']"
318,TAP,"['Molson', 'Coors', 'Beverage', 'Company']"
319,MDLZ,"['Mondelez', 'International']"
320,MNST,"['Monster', 'Beverage']"
321,MCO,"[""Moody's"", 'Corp']"
322,MS,"['Morgan', 'Stanley']"
323,MSI,"['Motorola', 'Solutions', 'Inc']"
324,MSCI,"['MSCI', 'Inc']"
325,MYL,"['Mylan', 'NV']"
326,NDAQ,"['Nasdaq', 'Inc']"
327,NOV,"['National', 'Oilwell', 'Varco', 'Inc']"
328,NTAP,['NetApp']
329,NFLX,"['Netflix', 'Inc']"
330,NWL,"['Newell', 'Brands']"
331,NEM,"['Newmont', 'Corporation']"
332,NWSA,"['News', 'Corp', 'Class', 'A']"
333,NWS,"['News', 'Corp', 'Class', 'B']"
334,NEE,"['NextEra', 'Energy']"
335,NLSN,"['Nielsen', 'Holdings']"
336,NKE,"['Nike', 'Inc']"
337,NI,"['NiSource', 'Inc']"
338,NBL,"['Noble', 'Energy']"
339,NSC,"['Norfolk', 'Southern', 'Corp']"
340,NTRS,"['Northern', 'Trust', 'Corp']"
341,NOC,"['Northrop', 'Grumman']"
342,NLOK,['NortonLifeLock']
343,NCLH,"['Norwegian', 'Cruise', 'Line', 'Holdings']"
344,NRG,"['NRG', 'Energy']"
345,NUE,"['Nucor', 'Corp']"
346,NVDA,"['Nvidia', 'Corporation']"
347,NVR,"['NVR', 'Inc']"
348,ORLY,"[""O'Reilly"", 'Automotive']"
349,OXY,"['Occidental', 'Petroleum']"
350,ODFL,"['Old', 'Dominion', 'Freight', 'Line']"
351,OMC,"['Omnicom', 'Group']"
352,OKE,['ONEOK']
353,ORCL,"['Oracle', 'Corp']"
354,OTIS,"['Otis', 'Worldwide']"
355,PCAR,"['PACCAR', 'Inc']"
356,PKG,"['Packaging', 'Corporation', 'of', 'America']"
357,PH,['Parker-Hannifin']
358,PAYX,"['Paychex', 'Inc']"
359,PAYC,['Paycom']
360,PYPL,['PayPal']
361,PNR,"['Pentair', 'plc']"
362,PBCT,"[""People's"", 'United', 'Financial']"
363,PEP,"['PepsiCo', 'Inc']"
364,PKI,['PerkinElmer']
365,PRGO,['Perrigo']
366,PFE,"['Pfizer', 'Inc']"
367,PM,"['Philip', 'Morris', 'International']"
368,PSX,"['Phillips', '66']"
369,PNW,"['Pinnacle', 'West', 'Capital']"
370,PXD,"['Pioneer', 'Natural', 'Resources']"
371,PNC,"['PNC', 'Financial', 'Services']"
372,PPG,"['PPG', 'Industries']"
373,PPL,"['PPL', 'Corp']"
374,PFG,"['Principal', 'Financial', 'Group']"
375,PG,"['Procter', '&', 'Gamble']"
376,PGR,"['Progressive', 'Corp']"
377,PLD,['Prologis']
378,PRU,"['Prudential', 'Financial']"
379,PEG,"['Public', 'Service', 'Enterprise', 'Group', '(PSEG)']"
380,PSA,"['Public', 'Storage']"
381,PHM,['PulteGroup']
382,PVH,"['PVH', 'Corp']"
383,QRVO,['Qorvo']
384,QCOM,"['QUALCOMM', 'Inc']"
385,PWR,"['Quanta', 'Services', 'Inc']"
386,DGX,"['Quest', 'Diagnostics']"
387,RL,"['Ralph', 'Lauren', 'Corporation']"
388,RJF,"['Raymond', 'James', 'Financial', 'Inc']"
389,RTX,"['Raytheon', 'Technologies']"
390,O,"['Realty', 'Income', 'Corporation']"
391,REG,"['Regency', 'Centers', 'Corporation']"
392,REGN,"['Regeneron', 'Pharmaceuticals']"
393,RF,"['Regions', 'Financial', 'Corp']"
394,RSG,"['Republic', 'Services', 'Inc']"
395,RMD,['ResMed']
396,RHI,"['Robert', 'Half', 'International']"
397,ROK,"['Rockwell', 'Automation', 'Inc']"
398,ROL,"['Rollins', 'Inc']"
399,ROP,"['Roper', 'Technologies']"
400,ROST,"['Ross', 'Stores']"
401,RCL,"['Royal', 'Caribbean', 'Group']"
402,SPGI,"['S&P', 'Global', 'Inc']"
403,CRM,['Salesforcecom']
404,SBAC,"['SBA', 'Communications']"
405,SLB,"['Schlumberger', 'Ltd']"
406,STX,"['Seagate', 'Technology']"
407,SEE,"['Sealed', 'Air']"
408,SRE,"['Sempra', 'Energy']"
409,NOW,['ServiceNow']
410,SHW,['Sherwin-Williams']
411,SPG,"['Simon', 'Property', 'Group', 'Inc']"
412,SWKS,"['Skyworks', 'Solutions']"
413,SLG,"['SL', 'Green', 'Realty']"
414,SNA,['Snap-on']
415,SO,"['Southern', 'Company']"
416,LUV,"['Southwest', 'Airlines']"
417,SWK,"['Stanley', 'Black', '&', 'Decker']"
418,SBUX,"['Starbucks', 'Corp']"
419,STT,"['State', 'Street', 'Corp']"
420,STE,"['STERIS', 'plc']"
421,SYK,"['Stryker', 'Corp']"
422,SIVB,"['SVB', 'Financial']"
423,SYF,"['Synchrony', 'Financial']"
424,SNPS,"['Synopsys', 'Inc']"
425,SYY,"['Sysco', 'Corp']"
426,TMUS,"['T-Mobile', 'US']"
427,TROW,"['T', 'Rowe', 'Price', 'Group']"
428,TTWO,"['Take-Two', 'Interactive']"
429,TPR,"['Tapestry', 'Inc']"
430,TGT,"['Target', 'Corp']"
431,TEL,"['TE', 'Connectivity', 'Ltd']"
432,FTI,['TechnipFMC']
433,TDY,"['Teledyne', 'Technologies']"
434,TFX,['Teleflex']
435,TXN,"['Texas', 'Instruments']"
436,TXT,"['Textron', 'Inc']"
437,BK,"['The', 'Bank', 'of', 'New', 'York', 'Mellon']"
438,CLX,"['The', 'Clorox', 'Company']"
439,COO,"['The', 'Cooper', 'Companies']"
440,HSY,"['The', 'Hershey', 'Company']"
441,MOS,"['The', 'Mosaic', 'Company']"
442,TRV,"['The', 'Travelers', 'Companies', 'Inc']"
443,DIS,"['The', 'Walt', 'Disney', 'Company']"
444,TMO,"['Thermo', 'Fisher', 'Scientific']"
445,TIF,"['Tiffany', '&', 'Co']"
446,TJX,"['TJX', 'Companies', 'Inc']"
447,TSCO,"['Tractor', 'Supply', 'Company']"
